Subject,Course,Section,Room,Instructor,Credits,Classes/week,Instructor preference,Instructor Time preference,Course Time preference,,Course
ARTCR,22100,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Morning,,ARTCR 22100
ARTCR,22500,3,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",3,2,,,Afternoon,,ARTCR 22500
ARTCR,23500,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,1,,,Afternoon,,ARTCR 23500
ARTCR,25100,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",3,2,,,Afternoon,,ARTCR 25100
ARTCR,25700,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",3,2,,,Morning,,ARTCR 25700
ARTCR,27100,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Afternoon,,ARTCR 27100
ARTCR,29000,2,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,1,,,Afternoon,,ARTCR 29000
ARTCR,32200,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",3,2,,,Afternoon,,ARTCR 32200
ARTCR,75149,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,1,,,Morning,,ARTCR 75149
ARTCR,75165,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",3,2,,,Evening,,ARTCR 75165
ARTCR,75181,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,2,,,Afternoon,,ARTCR 75181
ARTCR,75182,1,"North Bldg 11072,North Bldg 11003,North Bldg 11034A,North Bldg 11083,North Bldg 11005,North Bldg 1600","Wood Brian W,Burnes Aisha Khaiilah,Jaudon Valerie,Sanchez Juan,Carreiro Joel,Leist Reiner",4,1,,,Evening,,ARTCR 75182
ARTH,11100,5,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,1,,,Evening,,ARTH 11100
ARTH,21500,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,1,,,Morning,,ARTH 21500
ARTH,22500,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,1,,,Evening,,ARTH 22500
ARTH,24000,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,1,,,Morning,,ARTH 24000
ARTH,24500,1,"North Bldg 1503,North Bldg 1527,North Bldg 1502,West Bldg W615,West Bldg W714,North Bldg 1501,North Bldg 1602","Kent Lori Anne,Pelizzari Maria A.,Golan Romy,Zanardi Tara Joy Mona,Jaskey Jennifer Marie,Dey Hendrik William,Montgomery Harper L,Avcioglu Nebahat,Loh Maria Hsiuya,Jaudon Valerie,Braun Emily F.,De Duve Thierry,Pissarro Joachim",3,2,,,Morning,,ARTH 24500
